,Tickers,Price,Cov,Roi,Volume
1,<DirEntry 'ACOR.csv'>,2.01,1.8,-1.47,35100
2,<DirEntry 'ACNB.csv'>,32.08,0.21,0.47,7500
3,<DirEntry 'ACN.csv'>,322.51,1.36,0.44,2552600
4,<DirEntry 'ACMR.csv'>,82.06,4.14,5.65,232400
5,<DirEntry 'ACM.csv'>,74.35,2.13,3.78,853400
6,<DirEntry 'ACLX.csv'>,16.94,5.38,-9.17,249900
7,<DirEntry 'ACLS.csv'>,69.44,3.72,6.16,324500
8,<DirEntry 'ACKIU.csv'>,10.36,0.11,-0.19,100
9,<DirEntry 'ACKIT.csv'>,10.19,0.11,0.2,700
10,<DirEntry 'ACIW.csv'>,34.29,2.05,3.28,705100
11,<DirEntry 'ACIU.csv'>,4.12,3.97,2.49,158900
12,<DirEntry 'ACII.csv'>,9.74,0.05,0.1,621000
13,<DirEntry 'ACI.csv'>,29.72,2.28,5.05,1623300
14,<DirEntry 'ACHV.csv'>,7.5,1.33,-1.19,12000
15,<DirEntry 'ACHR.csv'>,3.15,5.11,7.14,1041400
16,<DirEntry 'ACHL.csv'>,3.33,2.69,-4.86,6000
17,<DirEntry 'ACHC.csv'>,56.92,3.78,7.8,568400
18,<DirEntry 'ACH.csv'>,17.43,1.29,1.4,113300
19,<DirEntry 'ACGLO.csv'>,24.84,0.62,1.26,25500
20,<DirEntry 'ACGLN.csv'>,22.15,0.41,0.27,152700
21,<DirEntry 'ACGL.csv'>,47.54,1.5,1.52,1577700
22,<DirEntry 'ACEVU.csv'>,10.23,0.42,0.29,0
23,<DirEntry 'ACEV.csv'>,10.02,0.05,0.1,14700
24,<DirEntry 'ACET.csv'>,13.74,5.47,8.36,151000
25,<DirEntry 'ACER.csv'>,2.61,1.3,1.16,67700
26,<DirEntry 'ACEL.csv'>,13.53,1.84,3.84,147300
27,<DirEntry 'ACDI.csv'>,9.94,0.05,-0.1,300300
28,<DirEntry 'ACCO.csv'>,8.72,1.31,0.58,746700
29,<DirEntry 'ACCD.csv'>,17.71,3.74,3.57,676600
30,<DirEntry 'ACC.csv'>,54.24,3.18,7.45,1147200
31,<DirEntry 'ACBI.csv'>,32.37,1.86,1.7,72574
32,<DirEntry 'ACBAU.csv'>,10.24,0.64,1.29,800
33,<DirEntry 'ACBA.csv'>,10.14,0.0,0.0,0
34,<DirEntry 'ACB.csv'>,3.77,1.78,-3.08,4128600
35,<DirEntry 'ACAXU.csv'>,9.97,0.1,-0.2,26400
36,<DirEntry 'ACAQ.csv'>,9.94,0.22,0.4,1000
37,<DirEntry 'ACAH.csv'>,9.72,0.03,0.0,7800
38,<DirEntry 'ACAD.csv'>,25.64,2.45,-1.95,870100
39,<DirEntry 'ACABU.csv'>,9.99,0.06,0.0,25000
40,<DirEntry 'ACA.csv'>,51.5,5.16,10.28,268900
41,<DirEntry 'AC.csv'>,40.5,2.87,6.83,1900
42,<DirEntry 'ABVC.csv'>,2.45,2.76,1.24,12800
43,<DirEntry 'ABUS.csv'>,3.26,3.35,1.24,2107600
44,<DirEntry 'ABTX.csv'>,43.16,1.19,0.63,32500
45,<DirEntry 'ABT.csv'>,122.41,2.0,4.17,5837700
46,<DirEntry 'ABST.csv'>,9.05,1.98,0.0,72600
47,<DirEntry 'ABSI.csv'>,9.06,6.67,7.99,466800
48,<DirEntry 'ABR.csv'>,17.88,1.39,2.7,2238700
49,<DirEntry 'ABOS.csv'>,5.72,2.83,0.35,118100
50,<DirEntry 'ABNB.csv'>,155.09,4.05,-6.14,6173200
51,<DirEntry 'ABMD.csv'>,312.3,3.24,5.28,214900
52,<DirEntry 'ABM.csv'>,44.55,1.87,4.31,230600
53,<DirEntry 'ABIO.csv'>,2.06,2.89,4.57,86300
54,<DirEntry 'ABGI.csv'>,9.73,0.06,0.1,55900
55,<DirEntry 'ABG.csv'>,191.56,1.94,3.63,273300
56,<DirEntry 'ABEV.csv'>,2.96,1.49,2.42,35697800
57,<DirEntry 'ABEO.csv'>,0.25,3.4,4.17,1658300
58,<DirEntry 'ABCM.csv'>,16.3,0.47,-0.12,91700
59,<DirEntry 'ABCL.csv'>,8.93,3.61,1.36,3536300
60,<DirEntry 'ABCB.csv'>,49.61,1.69,1.04,229600
61,<DirEntry 'ABC.csv'>,141.92,1.23,0.97,1082000
62,<DirEntry 'ABBV.csv'>,149.54,1.33,2.73,8320700
63,<DirEntry 'ABB.csv'>,33.74,1.15,-0.12,3646800
64,<DirEntry 'AB.csv'>,45.64,3.74,8.1,477600
65,<DirEntry 'AAWW.csv'>,77.12,1.47,3.54,636000
66,<DirEntry 'AAU.csv'>,0.29,3.33,3.57,204500
67,<DirEntry 'AATC.csv'>,6.6,2.96,-5.71,5500
68,<DirEntry 'AAT.csv'>,36.89,1.45,2.08,190000
69,<DirEntry 'AAQC.csv'>,9.7,0.0,0.0,14300
70,<DirEntry 'AAPL.csv'>,164.85,1.32,0.32,91974200
71,<DirEntry 'AAP.csv'>,205.57,2.26,-0.58,693500
72,<DirEntry 'AAON.csv'>,58.51,1.35,1.67,171500
73,<DirEntry 'AAOI.csv'>,3.45,6.98,-12.88,1404300
74,<DirEntry 'AAN.csv'>,21.45,3.05,4.03,284500
75,<DirEntry 'AAME.csv'>,2.64,3.76,-2.22,2700
76,<DirEntry 'AAL.csv'>,17.46,2.31,0.17,43874100
77,<DirEntry 'AAIN.csv'>,24.88,0.05,-0.08,1600
78,<DirEntry 'AAIC.csv'>,3.24,0.91,-1.52,71100
79,<DirEntry 'AADI.csv'>,17.36,2.55,-0.8,82800
80,<DirEntry 'AACIU.csv'>,10.02,0.1,0.2,0
81,<DirEntry 'AACI.csv'>,9.81,0.13,-0.1,300
82,<DirEntry 'AACG.csv'>,1.36,4.03,7.94,7900
83,<DirEntry 'AAC.csv'>,9.76,0.1,0.21,99900
84,<DirEntry 'AA.csv'>,77.85,2.65,5.07,7361900
85,<DirEntry 'A.csv'>,133.73,2.56,2.48,3144500
